rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
412,tourist destination preference,3,0.0,3.0,3.0,0.0
413,food and wine,3,0.0,4.667,5.0,0.577
414,geographical location,3,0.0,5.0,5.0,0.0
415,service quality,3,0.0,3.0,4.0,1.732
416,flights,3,0.0,3.667,4.0,1.528
417,seville as a destination,3,0.0,4.0,4.0,1.0
418,meeting locals,3,0.0,3.667,3.0,1.155
419,overall beauty,3,0.0,5.0,5.0,0.0
420,coastal scenery,3,0.0,5.0,5.0,0.0
421,overall trip,3,0.0,4.667,5.0,0.577
422,tourist atmosphere,3,0.0,2.0,2.0,1.0
423,safety/security,3,0.0,1.333,1.0,0.577
424,safety/concerns,3,0.0,2.0,2.0,0.0
425,scenic area,3,0.0,4.667,5.0,0.577
426,communication,3,0.0,3.0,4.0,1.732
427,coastal towns,3,0.0,3.667,4.0,0.577
428,scenic view,3,0.0,4.667,5.0,0.577
429,cultural events,3,0.0,5.0,5.0,0.0
430,diversity,3,0.0,5.0,5.0,0.0
431,distance and accessibility,3,0.0,3.0,2.0,1.732
432,porto,3,0.0,3.333,3.0,0.577
433,dining experience,3,0.0,5.0,5.0,0.0
434,lakes,3,0.0,4.333,4.0,0.577
435,hot springs,3,0.0,4.0,4.0,1.0
436,destination worthiness,3,0.0,3.333,4.0,1.155
437,cultural richness,3,0.0,5.0,5.0,0.0
438,hotel amenities,3,0.0,4.333,4.0,0.577
439,cultural sights,3,0.0,5.0,5.0,0.0
440,lake como,3,0.0,3.667,3.0,1.155
441,remoteness,3,0.0,3.333,4.0,2.082
442,regional travel,3,0.0,3.667,4.0,0.577
443,customer service,3,0.0,2.0,2.0,1.0
444,cultural attractions,3,0.0,4.0,4.0,1.0
445,internet connectivity,3,0.0,3.333,3.0,0.577
446,technology,3,0.0,3.667,4.0,1.528
447,taxis,3,0.0,3.0,3.0,1.0
448,taxi services,3,0.0,2.333,2.0,1.528
449,day tour,3,0.0,3.667,4.0,1.528
450,privacy,3,0.0,5.0,5.0,0.0
451,proximity to attractions,3,0.0,4.667,5.0,0.577
452,day trip options,3,0.0,4.0,4.0,0.0
453,pubs,3,0.0,5.0,5.0,0.0
454,puerto escondido,3,0.0,3.333,3.0,0.577
455,daytrip,3,0.0,3.667,4.0,1.528
456,surf spots,3,0.0,4.0,4.0,0.0
457,jeep tour,3,0.0,4.0,4.0,1.0
458,island destinations,3,0.0,5.0,5.0,0.0
459,cultural differences,3,0.0,2.667,3.0,0.577
460,street life,3,0.0,4.333,4.0,0.577
461,local exploration,3,0.0,4.667,5.0,0.577
462,historical landmarks,3,0.0,4.333,4.0,0.577
463,hanoi experience,3,0.0,3.667,4.0,0.577
464,heat,3,0.0,2.0,2.0,1.0
465,romantic setting,3,0.0,5.0,5.0,0.0
466,tour company,3,0.0,3.333,3.0,1.528
467,swimming,3,0.0,4.667,5.0,0.577
468,romantic getaway,3,0.0,3.333,4.0,1.155
469,tour booking,3,0.0,3.667,3.0,1.155
470,local drink,3,0.0,3.667,5.0,2.309
471,social activities,3,0.0,5.0,5.0,
472,tivoli gardens,3,0.0,3.667,4.0,0.577
473,european alps,3,0.0,4.0,4.0,0.0
474,social etiquette,3,0.0,4.667,5.0,0.577
475,timing of visit,3,0.0,4.667,5.0,0.577
476,local assistance,3,0.0,4.333,5.0,1.155
477,country,3,0.0,4.667,5.0,0.577
